id,address_v4,prefix_v4,asn_v4,latitude,longitude,country_code
10806,178.33.23.163,178.32.0.0/15,16276,51.1805,4.4175,BE
12942,217.113.64.16,217.113.64.0/19,3491,50.4685,4.4295,BE
14914,195.66.115.130,195.66.115.0/24,47377,50.8795,4.5075,BE
15084,185.49.180.4,185.49.180.0/22,202225,51.0295,3.6915,BE
17824,151.248.48.18,151.248.48.0/21,59547,51.0195,4.4985,BE
20025,193.58.13.128,193.58.8.0/21,41008,50.8495,4.7285,BE
20172,89.106.240.114,89.106.240.0/21,31669,50.8685,4.4805,BE
20467,212.113.88.27,212.113.64.0/19,9166,50.9305,5.3705,BE
20476,80.65.129.90,80.65.128.0/20,31241,50.8705,4.4805,BE
20487,46.28.43.13,46.28.43.0/24,47537,51.2205,2.9915,BE
21361,89.106.240.114,89.106.240.0/21,31669,50.8875,4.4505,BE
22487,185.18.149.36,185.18.148.0/23,42160,51.1605,3.2215,BE
11103,185.18.57.250,185.18.56.0/22,34524,42.4985,27.4675,BG
15545,,,,42.6895,23.3195,BG
16212,195.85.215.199,195.85.215.0/24,31287,42.6985,23.3075,BG
16213,78.130.176.64,78.130.128.0/17,9070,42.6985,23.3275,BG
16348,,,,42.6515,23.3595,BG
16354,77.85.236.130,77.85.0.0/16,8866,42.6995,23.2995,BG
16412,194.141.221.30,194.141.0.0/16,6802,42.6685,23.3675,BG
16965,87.246.0.66,87.246.0.0/18,12615,42.7095,23.3305,BG
10604,89.187.143.246,89.187.128.0/19,35592,50.0795,14.4675,CZ
16701,81.201.48.111,81.201.48.0/21,8251,50.0975,14.3375,CZ
16722,185.17.116.62,185.17.116.0/23,38952,50.0685,14.3985,CZ
16784,91.103.163.137,91.103.160.0/21,42000,50.0795,14.4815,CZ
17270,147.229.3.34,147.229.0.0/17,197451,49.1975,16.6105,CZ
17931,87.236.193.251,87.236.192.0/21,35592,50.0775,14.4685,CZ
19771,46.28.107.5,46.28.104.0/21,197019,49.0475,14.4305,CZ
20623,94.199.192.180,94.199.192.0/23,48364,49.2785,16.9985,CZ
22812,5.104.23.10,5.104.16.0/21,198977,49.1485,18.0075,CZ
18910,195.85.251.221,195.85.251.0/24,29280,55.6775,12.5675,DK
19381,217.15.175.72,217.15.160.0/20,51432,55.6575,12.3015,DK
25263,62.116.194.4,62.116.192.0/19,31027,55.0285,8.6605,DK
10036,,,,50.7405,7.1485,DE
10824,80.153.139.6,80.152.0.0/14,3320,52.5295,13.4185,DE
10964,94.136.168.3,94.136.160.0/20,41391,51.3395,12.4005,DE
11150,212.29.34.210,212.29.32.0/19,15763,51.4975,7.5295,DE
11285,31.172.112.66,31.172.112.0/20,60955,49.4095,11.1315,DE
11942,185.21.164.5,185.21.164.0/22,60351,49.2785,7.1095,DE
13124,37.26.226.46,37.26.226.0/24,15695,50.1195,8.7385,DE
13646,193.25.173.99,193.25.173.0/24,60295,50.1105,8.7395,DE
13939,46.16.72.9,46.16.72.0/21,51862,52.5315,13.4285,DE
14091,85.182.245.137,85.176.0.0/13,13184,53.5975,10.0715,DE
14377,130.149.58.159,130.149.0.0/16,680,52.5105,13.3205,DE
14685,212.77.162.210,212.77.160.0/19,12611,49.0095,12.1515,DE
15573,217.71.103.98,217.71.96.0/20,13237,50.0985,8.6505,DE
15594,94.127.225.195,94.127.224.0/21,48139,54.1895,9.1015,DE
15772,93.190.64.48,93.190.64.0/21,47215,50.0985,8.6305,DE
16039,185.11.252.68,185.11.252.0/22,61303,49.4515,11.0785,DE
16530,5.83.128.190,5.83.128.0/24,12586,49.9675,6.4985,DE
16546,82.195.73.61,82.195.64.0/19,8365,49.8805,8.6495,DE
16902,62.168.192.25,62.168.192.0/24,31055,53.0685,8.8075,DE
17050,80.190.172.81,80.190.0.0/16,15598,49.3875,11.1795,DE
17203,80.146.165.89,80.144.0.0/13,3320,53.7385,10.0675,DE
17249,46.16.220.117,46.16.220.0/22,15943,53.7115,9.9895,DE
17495,194.62.23.6,194.62.23.0/24,48200,49.3895,11.1815,DE
17538,194.62.23.140,194.62.23.0/24,48200,50.1215,8.7385,DE
17831,185.54.111.225,185.54.111.0/24,61955,53.0675,8.8085,DE
17858,146.0.41.42,146.0.32.0/20,24961,51.2715,6.8195,DE
18278,151.217.169.22,151.217.0.0/16,13020,53.5615,9.9905,DE
18304,80.77.16.76,80.77.16.0/24,34549,50.1395,8.7375,DE
18600,212.122.62.1,212.122.32.0/19,16097,51.3475,12.3875,DE
19453,93.94.131.38,93.94.128.0/21,44946,51.1885,6.8695,DE
19682,84.17.108.88,84.17.96.0/19,33940,52.1185,10.3815,DE
20012,87.238.190.2,87.238.184.0/21,39257,50.1185,8.7375,DE
20033,212.63.130.114,212.63.128.0/19,8741,49.4085,11.1285,DE
20052,217.29.33.50,217.29.32.0/20,16188,49.0085,8.3495,DE
20053,89.28.136.142,89.28.136.0/21,41307,48.5685,13.4195,DE
20067,78.110.232.14,78.110.224.0/20,43566,51.4905,7.4405,DE
20202,82.195.78.118,82.195.64.0/19,8365,49.8785,8.6375,DE
20247,77.232.232.141,77.232.224.0/20,42102,50.1105,8.7395,DE
20277,195.88.109.7,195.88.108.0/23,57407,51.0005,9.0005,DE
20468,185.5.100.238,185.5.100.0/22,39702,48.8915,8.7005,DE
20567,81.92.165.224,81.92.160.0/20,21385,48.2805,11.5705,DE
20673,185.10.36.21,185.10.36.0/22,61343,48.0185,7.8505,DE
20715,31.24.168.10,31.24.168.0/21,197729,50.1195,8.7375,DE
20792,212.87.132.132,212.87.128.0/19,20677,48.7085,9.6915,DE
21207,195.248.74.162,195.248.74.0/24,198296,48.1505,11.6175,DE
21232,91.217.174.18,91.217.174.0/23,25074,52.4485,13.4285,DE
21333,212.102.234.30,212.102.224.0/19,15415,51.0285,7.5685,DE
21346,195.137.191.75,195.137.191.0/24,35684,50.1105,8.7395,DE
21349,185.43.176.241,185.43.176.0/22,62365,51.0415,13.7295,DE
21416,80.70.179.183,80.70.176.0/20,34372,51.7305,8.7975,DE
21592,178.19.210.242,178.19.208.0/20,50324,53.5585,9.9915,DE
21956,217.17.192.13,217.17.192.0/20,15725,50.9305,11.5795,DE
21959,130.0.72.201,130.0.72.0/21,42442,50.1315,8.5995,DE
21994,130.0.72.206,130.0.72.0/21,42442,50.1295,8.6015,DE
21995,212.126.220.14,212.126.192.0/19,5409,50.1095,8.6815,DE
22316,213.183.195.82,213.183.192.0/19,15368,53.5505,10.0475,DE
23165,89.107.64.130,89.107.64.0/21,30962,51.1895,6.8705,DE
23191,84.246.122.38,84.246.120.0/21,34568,51.1875,6.8715,DE
23193,212.79.9.202,212.79.0.0/18,20783,53.5485,10.0515,DE
23307,185.27.182.75,185.27.182.0/23,60664,52.5105,13.3575,DE
23375,185.96.213.58,185.96.213.0/24,200770,52.4995,13.3705,DE
23836,185.48.116.8,185.48.116.0/22,51862,50.1005,8.5885,DE
23961,80.70.191.30,80.70.191.0/24,34372,52.0075,8.5605,DE
24084,146.0.227.126,146.0.224.0/19,29066,50.0995,8.6315,DE
24107,185.76.156.250,185.76.156.0/22,52094,52.4605,13.3875,DE
24114,78.111.72.106,78.111.64.0/20,33984,50.9795,7.0175,DE
24122,80.78.81.4,80.78.80.0/21,34685,52.5085,13.3685,DE
24415,193.108.193.250,193.108.193.0/24,21235,53.6395,10.0175,DE
24982,78.111.70.54,78.111.64.0/20,33984,50.9985,9.0015,DE
25329,178.249.80.3,178.249.80.0/21,21161,49.1815,9.2285,DE
19355,185.7.253.140,185.7.252.0/23,61189,59.4295,24.7095,EE
13305,89.207.60.6,89.207.56.0/21,41073,53.3195,-6.2325,IE
16716,92.61.192.131,92.61.192.0/20,44384,53.7305,-7.8025,IE
16754,46.245.208.56,46.245.208.0/21,61194,53.3295,-6.3705,IE
18109,85.91.1.174,85.91.0.0/19,34245,53.3115,-6.2225,IE
21374,85.91.7.201,85.91.0.0/19,34245,53.3995,-6.2195,IE
23428,212.84.40.101,212.84.40.0/21,15533,53.3215,-6.4415,IE
11598,109.69.8.210,109.69.8.0/24,49835,41.3515,2.1415,ES
11602,89.251.238.74,89.251.224.0/20,30892,41.3985,2.1875,ES
13096,213.192.238.59,213.192.238.0/24,12541,40.5105,-3.6685,ES
13870,62.204.193.11,62.204.192.0/19,15630,40.4375,-3.7395,ES
14757,,,,43.2705,-2.9405,ES
18654,86.109.160.97,86.109.160.0/24,196713,39.5195,-0.4705,ES
19718,185.4.94.15,185.4.92.0/22,59682,40.3715,-3.6425,ES
23687,212.36.67.3,212.36.64.0/19,15699,41.4105,2.1715,ES
10256,80.247.227.224,80.247.224.0/20,15826,43.5505,1.4895,FR
11217,94.228.191.86,94.228.176.0/20,34177,48.8405,2.5875,FR
11617,185.3.128.126,185.3.128.0/22,59689,48.9305,2.3475,FR
11621,91.109.120.23,91.109.120.0/21,58308,48.7875,2.4085,FR
13606,185.31.40.9,185.31.40.0/22,60362,48.9305,2.3475,FR
15467,,,,48.1205,-1.6795,FR
15675,185.31.3.120,185.31.3.0/24,34274,45.6995,4.8805,FR
16757,193.200.182.197,193.200.182.0/24,42970,45.1905,5.7395,FR
16876,193.107.56.118,193.107.56.0/22,50535,48.5605,7.7905,FR
18601,93.94.161.196,93.94.160.0/21,34749,48.8775,2.3175,FR
19480,89.234.145.2,89.234.145.0/24,198507,49.4275,1.0815,FR
19805,185.61.163.2,185.61.160.0/22,201659,43.2895,5.3875,FR
19868,80.245.16.16,80.245.16.0/20,44494,46.1415,6.1205,FR
20214,91.223.40.9,91.223.40.0/24,197551,48.5695,7.7775,FR
20443,185.14.129.5,185.14.129.0/24,199441,48.9285,2.3495,FR
20492,217.13.48.46,217.13.48.0/20,31221,43.6085,7.0815,FR
20577,37.25.57.22,37.25.57.0/24,57642,48.9105,2.2605,FR
21244,77.70.145.254,77.70.144.0/20,5377,48.8595,2.3495,FR
22476,91.211.167.225,91.211.164.0/22,12565,45.7205,4.8605,FR
22898,37.60.167.186,37.60.160.0/21,199135,48.8615,2.3815,FR
22958,90.19.203.138,90.19.0.0/16,3215,47.4015,0.6595,FR
22992,185.51.176.4,185.51.176.0/22,61984,47.3485,5.0515,FR
23252,62.210.47.201,62.210.0.0/16,12876,48.7685,2.3795,FR
23611,85.31.196.139,85.31.192.0/19,30781,43.3575,5.3375,FR
24118,185.30.92.16,185.30.92.0/22,60491,48.9315,2.3475,FR
24544,89.185.38.231,89.185.32.0/19,8426,48.8595,2.3395,FR
24902,78.109.81.102,78.109.80.0/20,34948,48.8585,2.3475,FR
19557,185.3.192.11,185.3.192.0/22,199244,45.8005,15.9395,HR
21283,185.15.30.158,185.15.30.0/24,61211,45.6485,15.6615,HR
10924,46.31.104.239,46.31.104.0/21,197075,42.4495,12.0885,IT
12120,192.167.213.94,192.167.0.0/16,137,44.8275,11.5985,IT
15185,185.19.184.38,185.19.184.0/22,60975,45.4795,9.1015,IT
15515,78.159.192.10,78.159.192.0/22,28716,41.8295,12.4675,IT
16975,128.65.126.60,128.65.112.0/20,5602,45.4795,9.1005,IT
19249,95.141.32.116,95.141.32.0/20,49367,45.4815,9.0995,IT
19363,91.226.74.58,91.226.74.0/23,56641,45.4785,9.1805,IT
19507,93.92.155.128,93.92.152.0/21,44567,45.4705,9.1775,IT
20745,195.43.191.126,195.43.160.0/19,5602,45.4795,9.0995,IT
21246,212.84.34.30,212.84.32.0/21,199547,44.5005,11.4295,IT
21319,81.30.1.158,81.30.0.0/20,16191,45.0415,7.3475,IT
21588,193.43.34.27,193.43.34.0/24,12835,46.0915,11.1215,IT
22545,151.62.78.120,151.62.0.0/16,1267,45.4195,11.0895,IT
24559,62.169.33.65,62.169.32.0/21,28831,45.5815,10.4395,IT
24562,195.110.107.67,195.110.107.0/24,39729,45.4585,9.0505,IT
24564,185.103.112.2,185.103.112.0/22,28941,41.3195,16.2805,IT
24897,109.168.46.194,109.168.0.0/18,5602,45.5205,10.2215,IT
18864,91.184.204.125,91.184.192.0/19,35432,35.1495,33.3505,CY
18567,89.111.41.70,89.111.0.0/18,12993,56.8905,24.2305,LV
12219,185.32.189.9,185.32.188.0/22,62416,38.7815,-9.1225,PT
12460,185.31.158.6,185.31.158.0/24,9186,38.7475,-9.0995,PT
13730,195.22.24.35,195.22.0.0/19,8426,38.7475,-9.1015,PT
18386,185.11.164.2,185.11.164.0/22,8426,38.7505,-9.0985,PT
21391,185.32.189.13,185.32.188.0/22,62416,38.7475,-9.0985,PT
24038,94.132.197.210,94.132.192.0/18,2860,38.7115,-9.1415,PT
15508,188.241.144.234,188.241.144.0/21,42800,44.4915,26.0875,RO
19514,89.45.88.195,89.45.88.0/24,61958,45.1795,26.0375,RO
23812,81.180.99.53,81.180.96.0/22,25409,44.4285,26.0575,RO
18945,141.255.254.207,141.255.192.0/18,2107,46.0495,14.4595,SI
19343,193.169.48.40,193.169.48.0/23,49402,46.0585,14.5695,SI
19840,185.53.12.16,185.53.12.0/24,41828,46.0575,14.5095,SI
23188,213.161.11.66,213.161.0.0/19,3212,46.5615,15.6515,SI
16004,81.89.63.129,81.89.63.0/24,29405,48.1595,17.1575,SK
18853,80.87.217.250,80.87.208.0/20,35328,48.7685,18.6195,SK
18856,193.93.72.31,193.93.72.0/22,43451,48.1505,17.1095,SK
18858,80.87.217.254,80.87.208.0/20,35328,49.2215,18.7395,SK
18875,80.87.217.246,80.87.208.0/20,35328,49.0695,18.9205,SK
18878,80.87.217.242,80.87.208.0/20,35328,48.6715,19.5005,SK
10638,193.166.86.102,193.166.0.0/15,1741,60.1715,24.9385,FI
12291,193.19.136.253,193.19.136.0/22,49866,60.2075,24.6615,FI
18375,185.55.84.71,185.55.84.0/22,201964,60.4495,22.2605,FI
22033,185.4.228.6,185.4.228.0/22,199231,60.1985,24.9485,FI
23762,83.143.216.104,83.143.216.0/21,35382,61.4885,23.7505,FI
10772,212.112.161.106,212.112.160.0/19,12552,59.3285,18.0705,SE
10802,46.226.154.100,46.226.154.0/24,197541,59.2585,18.0975,SE
19287,88.80.0.100,88.80.0.0/19,33837,59.3305,18.0715,SE
19385,80.78.16.51,80.78.16.0/21,42732,55.5495,13.0815,SE
20644,217.198.77.147,217.198.72.0/21,48220,59.3295,17.9795,SE
20767,213.204.179.66,213.204.128.0/18,2119,59.6205,16.5605,SE
20874,193.178.60.19,193.178.60.0/22,31337,59.4095,17.9405,SE
24854,82.99.54.98,82.99.0.0/18,12552,59.4195,17.9195,SE
24891,62.108.192.118,62.108.192.0/19,20625,61.3575,16.3615,SE
